,pareto_points,solution_points
77,[1.         1.03462064],[-0.24822202  0.06711725 -0.3601209  -0.12227593]
78,[1.         1.02124488],[-0.28974468  0.2274467  -0.41119114  0.13860697]
79,[1.         0.61732686],[ 0.06092945 -0.00858189 -0.6270911  -0.21317393]
80,[0.99909159 0.94016522],[-0.45246643  0.5828862  -0.25208354  0.25148034]
81,[1.        1.0273248],[-0.28896183  0.20988062 -0.38916153  0.11562121]
82,[1.         0.99687904],[-0.28815746  0.28741613 -0.35345155  0.1617133 ]
83,[1.         1.02561009],[-0.27903572  0.17400274 -0.40008458  0.06306392]
84,[1.         1.00664759],[-0.2540643   0.12440434 -0.31598347 -0.07395275]
85,[0.72603007 1.05702794],[-0.34173498  0.40462688 -0.31227016  0.2121473 ]
86,[1.         0.82431543],[-0.06184641 -0.05134451 -0.4808167  -0.22524011]
87,[1.         0.76363289],[-0.01343054 -0.06037484 -0.542153   -0.22110564]
88,[1.         0.78401828],[-0.0294216  -0.05828345 -0.49279547 -0.20774423]
89,[0.92549317 1.08386302],[-0.341385    0.36866128 -0.351371    0.20527032]
90,[1.         0.85107994],[-0.08760117 -0.03869516 -0.4148463  -0.21010017]
91,[1.         1.01460731],[-0.60952675  0.7593053  -0.29095948  0.25039893]
92,[1.         1.03030539],[-0.266442    0.12381227 -0.37913013 -0.01854415]
93,[1.         0.99846154],[-0.28726894  0.2766145  -0.35790664  0.15226579]
94,[1.         0.89141053],[-0.14397939  0.01677448 -0.37689608 -0.17500418]
95,[1.         1.02094042],[-0.2701422   0.15137233 -0.37501752  0.01201075]
96,[0.98369223 0.9930675 ],[-0.29347706  0.3463566  -0.31715888  0.19870913]
97,[1.         0.90091532],[-0.15820873  0.03406911 -0.40852022 -0.19022727]
98,[1.         1.02762163],[-0.28915483  0.21005008 -0.3865938   0.1154691 ]
99,[1.         0.94500172],[-0.19221526  0.05208423 -0.38656664 -0.17428777]
100,[1.        0.9934966],[-0.26777625  0.19523793 -0.3266833   0.02348911]
101,[1.         1.03340578],[-0.268132    0.12398061 -0.36476502 -0.01825564]
102,[0.99843373 0.97792172],[-0.27231836  0.25256932 -0.30215654  0.07285026]
103,[1.         1.03011322],[-0.27557668  0.15348169 -0.36813328  0.02692523]
104,[1.         1.01645005],[-0.2816161   0.20262626 -0.39061671  0.08950363]
105,[1.         1.01566422],[-0.25828078  0.12261127 -0.33881348 -0.05588045]
106,[1.         0.92779648],[-0.17843008  0.04347216 -0.3536303  -0.15444714]
107,[1.         0.81956446],[-0.11296879  0.04354117 -0.44071987 -0.20432055]
108,[0.99853076 0.98464096],[-0.28251553  0.2920055  -0.32108808  0.13863596]
109,[1.         1.01447225],[-0.2801514   0.20083182 -0.38468972  0.08200642]
110,[1.         1.02638805],[-0.25078848  0.0852458  -0.33185762 -0.10844821]
111,[1.         0.92772281],[-0.17226893  0.03031656 -0.3775135  -0.16863438]
112,[1.         1.03663146],[-0.26240396  0.102136   -0.36598164 -0.05112025]
113,[1.         1.02798748],[-0.24516624  0.06843744 -0.36148974 -0.1305436 ]
114,[1.         0.84754843],[-0.15054107  0.0883401  -0.41522455 -0.18324007]
115,[1.         0.86329967],[-0.0950969  -0.03937793 -0.4389311  -0.21943106]
116,[1.         1.03460908],[-0.26566705  0.11467628 -0.36571726 -0.03218471]
117,[1.         0.95970416],[-0.21017964  0.07494286 -0.31179047 -0.12486252]
118,[1.         0.76778007],[-0.03512308 -0.03292897 -0.5128949  -0.22316422]
119,[1.         0.99913591],[-0.22945243  0.06843514 -0.3685376  -0.15423083]
120,[1.         1.00813079],[-0.26395252  0.15328461 -0.34210026 -0.01488208]
121,[1.         1.03360462],[-0.2738476   0.14165622 -0.34517065  0.00537591]
122,[1.        1.0029825],[-0.23058891  0.06602129 -0.36911738 -0.15350646]
123,[1.         1.04076958],[-0.25813937  0.08433934 -0.36005077 -0.07899615]
124,[1.         1.03540766],[-0.26581168  0.1138562  -0.35956952 -0.03440388]
