,pareto_points,solution_points
1190,[1.        0.6093784],[ 0.04401895  0.02564844 -0.6029318  -0.21470167]
1191,[1.         1.03253829],[-0.26878455  0.12738897 -0.36872804 -0.01246715]
1192,[1.         0.96504426],[-0.22178571  0.09711447 -0.3650769  -0.15682814]
1193,[0.99690402 0.95138794],[-0.4389423   0.5631246  -0.2572253   0.24705979]
1194,[1.        1.0204649],[-0.26660064  0.14056255 -0.3660497  -0.00938109]
1195,[1.         1.03593969],[-0.26745534  0.11790054 -0.3493023  -0.02991701]
1196,[1.        0.8955664],[-0.5109017   0.6668326  -0.23144984  0.27030596]
1197,[1.         0.85615903],[-0.10197991 -0.02015495 -0.44556442 -0.2177184 ]
1198,[1.       0.749538],[-0.08042732  0.06921674 -0.46432793 -0.21109998]
1199,[0.97095702 1.13766456],[-0.44456765  0.4854352  -0.34950966  0.23251218]
1200,[1.         1.02506566],[-0.28205195  0.18645597 -0.4036824   0.08248222]
1201,[1.         1.00022435],[-0.268171    0.18307428 -0.3387633   0.01913013]
1202,[1.         0.92398775],[-0.16300336  0.01576822 -0.40982264 -0.18911693]
1203,[1.         1.02542973],[-0.24541159  0.07256703 -0.35939342 -0.12761611]
1204,[1.         1.03208244],[-0.24827884  0.07072484 -0.3474331  -0.12261427]
1205,[1.         0.74104112],[-0.01566444 -0.03371435 -0.536631   -0.22117463]
1206,[1.         1.03959191],[-0.26143497  0.09502289 -0.35094586 -0.06427701]
1207,[1.         0.99678707],[-0.23591676  0.08829203 -0.3581957  -0.14709342]
1208,[1.         1.01503241],[-0.2934767   0.26294822 -0.40065756  0.17331102]
1209,[1.         0.81632292],[-0.13111505  0.08734687 -0.42893127 -0.19019264]
1210,[1.         1.03947341],[-0.25511813  0.0781654  -0.35964286 -0.09253359]
1211,[1.         0.83736485],[-0.07862014 -0.03869721 -0.4058213  -0.20288135]
1212,[1.         0.46447623],[ 0.18479875  0.0082913  -0.7758874  -0.20037755]
1213,[0.96286623 1.11680901],[-0.42722     0.47565055 -0.33899856  0.22981054]
1214,[1.        0.6797784],[-0.0380207   0.07893574 -0.49796453 -0.22154322]
1215,[0.99541608 1.16027629],[-0.5299753   0.60106486 -0.35885125  0.22668988]
1216,[1.         1.03220665],[-0.27465618  0.14671472 -0.3538058   0.01440497]
1217,[1.         0.48603445],[ 0.19544578 -0.02769718 -0.7926181  -0.19950223]
1218,[1.         0.80226237],[-0.09251565  0.0251393  -0.45464087 -0.2146056 ]
1219,[1.         0.86736971],[-0.1139816  -0.011594   -0.43783128 -0.21269435]
1220,[1.         0.84540534],[-0.1030035  -0.00636852 -0.445652   -0.21551512]
1221,[1.         1.01048338],[-0.2695313   0.16826335 -0.35792518  0.01778153]
1222,[0.99624941 1.13195539],[-0.5281855   0.60281634 -0.34610945  0.23176327]
1223,[1.         0.99118024],[-0.25689784  0.15988044 -0.30092266 -0.04330536]
1224,[0.99926421 1.03831542],[-0.49608028  0.5840937  -0.30336645  0.2518791 ]
1225,[1.         1.04220688],[-0.65779245  0.83521557 -0.30375832  0.2435694 ]
1226,[1.         1.02726924],[-0.2743093   0.15422791 -0.39328393  0.03205602]
1227,[1.         0.88620353],[-0.18404937  0.11562222 -0.39218694 -0.1666956 ]
1228,[1.         0.93662703],[-0.47781518  0.61171144 -0.2514751   0.25819904]
1229,[1.         1.00200081],[-0.2598774   0.15054032 -0.32374683 -0.03460671]
1230,[1.         1.02676582],[-0.28569058  0.19739935 -0.3898301   0.09683928]
1231,[1.         1.04177344],[-0.25744316  0.08105933 -0.35741168 -0.08437979]
1232,[1.         1.03004038],[-0.30041352  0.2587865  -0.4100676   0.19295835]
1233,[1.         0.86733216],[-0.13822263  0.03463676 -0.42265978 -0.1970973 ]
1234,[1.         0.99323893],[-0.2877322   0.29730225 -0.34310484  0.1647861 ]
1235,[1.         1.02780104],[-0.2962396   0.24267694 -0.41009822  0.16858403]
1236,[1.        1.0378685],[-0.26000783  0.09360627 -0.36920297 -0.06351607]
1237,[1.         1.01767814],[-0.27769357  0.1844742  -0.38580608  0.06269364]
1238,[1.         1.02567947],[-0.28835446  0.21091591 -0.40423694  0.11958651]
1239,[1.         1.02546382],[-0.2875167   0.20779848 -0.40475994  0.11495203]
1240,[1.         0.65015507],[ 0.06057075 -0.04369946 -0.6303518  -0.2134214 ]
1241,[1.         1.02273536],[-0.29531503  0.25136304 -0.41956535  0.17574081]
1242,[1.        0.9665364],[-0.20135218  0.04496492 -0.3864612  -0.16893741]
1243,[1.         1.03476667],[-0.26433596  0.11052587 -0.37012878 -0.03776377]
1244,[1.         0.98305386],[-0.23279779  0.10006771 -0.35638586 -0.14257768]
1245,[1.         0.62933224],[ 0.09614465 -0.06618023 -0.6759611  -0.20991033]
1246,[1.         0.83315456],[-0.07684246 -0.03709665 -0.46262056 -0.22746497]
1247,[1.         0.77873063],[-0.02496141 -0.05932513 -0.49772418 -0.20698926]
1248,[1.         1.03539538],[-0.2472849   0.0637123  -0.36056134 -0.12723961]
1249,[1.        0.5796026],[ 0.13323814 -0.05838916 -0.7202309  -0.20606194]
1250,[1.         0.74493688],[-0.00447334 -0.053929   -0.5523626  -0.22014895]
1251,[1.         0.69845116],[-0.00097467 -0.0092292  -0.5519101  -0.21952224]
1252,[1.         0.83399361],[-0.08705431 -0.02121954 -0.45572987 -0.22266385]
1253,[1.         1.03441715],[-0.27028888  0.12898077 -0.34992328 -0.0130501 ]
1254,[1.         1.01978648],[-0.26014176  0.12161009 -0.34906352 -0.04800998]
1255,[1.         0.99961466],[-0.267253    0.1808394  -0.3359688   0.01387133]
1256,[1.         1.03380644],[-0.26517284  0.11446866 -0.37330103 -0.03129229]
1257,[1.        1.0330168],[-0.24656297  0.06511534 -0.3621391  -0.12821758]
1258,[0.96366297 1.20523083],[-0.47716808  0.51520157 -0.37992445  0.22155157]
1259,[1.         0.74346334],[ 0.00627735 -0.06718826 -0.55359733 -0.2124504 ]
1260,[0.90994031 1.0847193 ],[-0.381047    0.43896663 -0.3227174   0.22059017]
1261,[1.         1.01677799],[-0.2631398   0.13575098 -0.35251918 -0.02738389]
1262,[1.         0.56472856],[ 0.05088073  0.07223542 -0.6063687  -0.21371895]
1263,[1.         0.73748171],[-0.0153282  -0.03040373 -0.5366913  -0.22112033]
1264,[1.         1.02299416],[-0.2876578   0.21391878 -0.41184017  0.12239121]
1265,[1.         0.98742175],[-0.2268983   0.07821802 -0.31949615 -0.12521708]
1266,[1.         1.11261785],[-0.3515666   0.33186752 -0.39764145  0.21200737]
1267,[1.         1.01095986],[-0.2402723   0.07949937 -0.35948575 -0.13900262]
1268,[1.         1.03791201],[-0.2487262   0.0639285  -0.35929495 -0.12294222]
1269,[1.         0.77888834],[-0.07881293  0.02804883 -0.46419585 -0.21861754]
1270,[1.         0.93754035],[-0.1837608   0.04276222 -0.39283627 -0.17862538]
1271,[1.         0.57540274],[ 0.10500008 -0.02054235 -0.68192136 -0.20872898]
1272,[1.        1.0351218],[-0.26827905  0.12168065 -0.35197616 -0.02377101]
1273,[1.         1.00084329],[-0.22695343  0.06000978 -0.36026806 -0.14704983]
1274,[1.         0.84560561],[-0.08754921 -0.03296579 -0.45471862 -0.22410136]
1275,[1.         1.02534509],[-0.28878647  0.21354976 -0.4085438   0.12425762]
1276,[1.         0.69903457],[ 0.00311252 -0.01608561 -0.55760014 -0.21914451]
1277,[1.         0.66036785],[-0.01671717  0.0641389  -0.52505064 -0.22069551]
1278,[1.         1.01751113],[-0.2697319   0.15608239 -0.3690366   0.01253996]
1279,[1.         0.98713392],[-0.21933298  0.05992199 -0.35361347 -0.14520459]
1280,[1.        1.0248313],[-0.28687152  0.20644778 -0.40984637  0.1137172 ]
1281,[1.         1.02759719],[-0.29802692  0.25255388 -0.4258351   0.18103623]
1282,[1.       1.029333],[-0.28448248  0.18729326 -0.3655643   0.07768464]
1283,[1.         1.04209685],[-0.25624186  0.07744011 -0.36195728 -0.08913366]
1284,[1.         1.03028464],[-0.2712462   0.13887176 -0.3775481   0.00631344]
1285,[1.         1.02802265],[-0.2900914   0.21322519 -0.3846263   0.11996111]
1286,[1.        1.0228498],[-0.25271818  0.09560294 -0.33304137 -0.09453897]
1287,[1.        0.8942827],[-0.17454736  0.07942989 -0.39804608 -0.17645302]
1288,[1.         1.03608799],[-0.26387882  0.10717103 -0.3630391  -0.04396875]
1289,[1.         0.95359051],[-0.1986948   0.05570932 -0.34448066 -0.14497028]
1290,[0.75241143 1.20486271],[-0.40502766  0.40153638 -0.39216465  0.21677712]
1291,[1.         1.01566112],[-0.23782547  0.06678626 -0.3665496  -0.14951566]
1292,[1.         0.77334958],[-0.05643257 -0.00496277 -0.4840477  -0.22518042]
1293,[1.         1.02822018],[-0.29751453  0.24815647 -0.4125816   0.17727154]
1294,[1.         0.48347932],[ 0.16805181  0.0058178  -0.75579065 -0.20210877]
1295,[1.         0.84265983],[-0.10588349  0.00194305 -0.44415438 -0.213459  ]
1296,[1.      1.00579],[-0.26971722  0.17790446 -0.3508752   0.02348132]
1297,[1.         1.02587175],[-0.27652833  0.16446343 -0.39649352  0.04735557]
1298,[1.         0.92986441],[-0.18126452  0.04707832 -0.39253253 -0.1798695 ]
1299,[1.         1.03970337],[-0.26255655  0.09797863 -0.34481448 -0.06077951]
1300,[1.         0.89048296],[-0.13939689  0.00894567 -0.38926512 -0.1827245 ]
1301,[1.         0.45379338],[ 0.19793549  0.00575447 -0.79212314 -0.19904643]
1302,[1.         1.02347982],[-0.26673347  0.13590741 -0.37058052 -0.01113138]
1303,[1.         0.93844467],[-0.6009358   0.7587888  -0.25377238  0.26533142]
1304,[1.         0.77490878],[-0.06252144  0.00359301 -0.47574556 -0.22575313]
1305,[1.         0.49790189],[ 1.5838394e-01  6.9883466e-04 -7.4457747e-01 -2.0313028e-01]
1306,[0.94753108 1.14979661],[-0.4304248   0.46462214 -0.35504854  0.22786137]
1307,[0.99516354 1.05433524],[-0.46149746  0.54024816 -0.31001776  0.24378243]
1308,[1.         0.99259126],[-0.2868524   0.29352042 -0.34178567  0.15891872]
1309,[0.70893799 1.05778849],[-0.33957654  0.4006477  -0.31399778  0.21128437]
1310,[1.         0.74424994],[ 0.0034633  -0.06417574 -0.56308883 -0.21939704]
1311,[1.         1.02551782],[-0.28908983  0.21448824 -0.40750512  0.12551261]
1312,[1.         0.74734968],[-0.09052449  0.09421588 -0.45778313 -0.20312762]
1313,[1.         0.99290431],[-0.26070926  0.16994643 -0.3118729  -0.02107419]
1314,[1.         0.74862206],[ 0.00086659 -0.06502658 -0.51382136 -0.19635299]
1315,[1.         1.01168549],[-0.23932973  0.07605582 -0.36171395 -0.14361086]
1316,[1.         1.01137769],[-0.27306885  0.1794533  -0.36655748  0.03934702]
1317,[1.         1.01806521],[-0.24303216  0.07667587 -0.35901442 -0.13240737]
1318,[1.         0.84727472],[-0.13932154  0.06293853 -0.4225531  -0.19167554]
1319,[1.         0.96226698],[-0.22529678  0.11090416 -0.36127454 -0.13649556]
1320,[1.        1.0090785],[-0.29306635  0.2786498  -0.3855662   0.17938438]
1321,[1.         0.77249998],[-0.08838396  0.05475119 -0.45836174 -0.21089996]
1322,[1.         0.93721366],[-0.17229146  0.0187993  -0.4032918  -0.18244109]
1323,[1.         0.97985625],[-0.21756487  0.06542734 -0.33971128 -0.13815507]
1324,[1.        0.9938798],[-0.26709107  0.19175561 -0.32610118  0.01864877]
1325,[1.         0.92784464],[-0.17243126  0.03050831 -0.40114558 -0.18444729]
1326,[0.9925756  1.07500911],[-0.44627118  0.51472664 -0.31940353  0.23818126]
1327,[1.         1.02508843],[-0.28757024  0.2088595  -0.40856984  0.11716387]
1328,[1.         0.80271953],[-0.12540922  0.09369829 -0.43311447 -0.1910521 ]
1329,[1.         0.85039115],[-0.0919802  -0.03077859 -0.40180898 -0.20208439]
1330,[1.         1.03945124],[-0.25911665  0.08886692 -0.3634131  -0.07160948]
1331,[1.         0.89681345],[-0.1485084   0.01927733 -0.37930918 -0.17504832]
1332,[1.         1.03275061],[-0.2566596   0.09190072 -0.35606125 -0.07866777]
1333,[1.         0.99243963],[-0.27874896  0.24662176 -0.33963788  0.09879184]
1334,[1.         0.85450327],[-0.08683518 -0.04352666 -0.45451355 -0.22573927]
1335,[1.         0.78141767],[-0.05104366 -0.02276939 -0.49247277 -0.22473492]
1336,[1.        0.9799369],[-0.21668684  0.06319152 -0.37457794 -0.16112067]
1337,[1.         0.79776382],[-0.1151126   0.07719045 -0.4400013  -0.19758235]
1338,[1.         1.02036834],[-0.25052616  0.09324414 -0.32390037 -0.10559433]
1339,[1.        1.0273968],[-0.2880573   0.20585921 -0.38680366  0.10916038]
1340,[0.99978406 0.97868025],[-0.26635653  0.22202802 -0.29729185  0.03061283]
1341,[0.93867804 1.14492595],[-0.42158943  0.45697695 -0.35262066  0.22597763]
1342,[1.         1.02595198],[-0.28656557  0.2027314  -0.39854124  0.10629442]
1343,[0.89106054 1.12516534],[-0.36276513  0.3789716  -0.36624745  0.2082664 ]
1344,[0.99783916 1.09768486],[-0.34535316  0.34275407 -0.38471007  0.20051986]
1345,[1.         1.02662849],[-0.2918173   0.22420189 -0.40385818  0.13963237]
1346,[1.         0.87671131],[-0.17080916  0.09553862 -0.40106958 -0.17488912]
1347,[1.         1.02742147],[-0.29282233  0.22697833 -0.39893392  0.14305058]
1348,[1.         0.51542699],[ 1.4218828e-01  2.9772520e-04 -7.2493267e-01 -2.0479259e-01]
1349,[1.        1.0358777],[-0.268052    0.11978913 -0.3474505  -0.02735356]
1350,[1.         1.01500702],[-0.27968815  0.19780256 -0.3848555   0.07839349]
1351,[1.         0.87847006],[-0.13197614  0.00882578 -0.374179   -0.17681569]
1352,[1.         0.51116151],[ 0.1090796   0.05036378 -0.67941624 -0.20788547]
1353,[1.         1.02957225],[-0.24934123  0.07693826 -0.35478678 -0.11374058]
1354,[1.         0.98483282],[-0.21901107  0.06222508 -0.37422347 -0.15979218]
1355,[1.         0.97955567],[-0.26724193  0.22392443 -0.30020195  0.03555432]
1356,[1.         1.00439179],[-0.25600892  0.13404685 -0.31783503 -0.06033693]
1357,[1.         0.99653655],[-0.257587    0.15259343 -0.31045097 -0.04387943]
1358,[1.         0.94786441],[-0.19519293  0.05515794 -0.3425656  -0.1447347 ]
1359,[1.         1.02179086],[-0.24172188  0.0682025  -0.35522258 -0.1410126 ]
1360,[1.         1.03306937],[-0.2764402   0.15117176 -0.3429625   0.01942477]
1361,[0.94218659 1.07164061],[-0.3904216   0.45551646 -0.31601927  0.22419831]
1362,[0.96102165 1.03138101],[-0.387982    0.47133178 -0.29564598  0.22709745]
1363,[1.        0.7620725],[-0.01089619 -0.06234026 -0.503115   -0.19949794]
1364,[1.         1.10616374],[-0.348369    0.33120584 -0.39047506  0.21965292]
1365,[1.         0.95913863],[-0.22581589  0.11724638 -0.35987285 -0.12320627]
1366,[1.         0.95258492],[-0.19578537  0.05034055 -0.35387218 -0.15065892]
1367,[1.         1.03280008],[-0.2709125   0.13359897 -0.35977972 -0.00449304]
1368,[1.         1.01705599],[-0.29437807  0.26216957 -0.40586567  0.176975  ]
1369,[1.         1.02810228],[-0.28511342  0.19229323 -0.3769971   0.08707026]
1370,[1.         0.99190581],[-0.2550162   0.15225874 -0.29771507 -0.05561834]
1371,[1.         1.02423763],[-0.24435434  0.07151302 -0.3605756  -0.13128404]
1372,[1.         1.02643955],[-0.29387948  0.23442271 -0.41392875  0.15670213]
1373,[1.         1.03283298],[-0.26700127  0.12146441 -0.37301403 -0.02075107]
1374,[0.99846787 0.97786617],[-0.27084923  0.24520972 -0.30081978  0.06252594]
1375,[1.         1.00512195],[-0.28967643  0.27044073 -0.37521046  0.15998685]
1376,[1.         1.03850198],[-0.2640706   0.10405581 -0.34584478 -0.0514188 ]
1377,[1.         0.97492498],[-0.21064058  0.05546906 -0.3794713  -0.16418207]
1378,[1.         0.92619646],[-0.20149583  0.10104904 -0.37951082 -0.1632047 ]
1379,[0.70754501 1.19860315],[-0.40494314  0.40356204 -0.3856045   0.22327211]
1380,[1.         0.93052799],[-0.17352691  0.02950388 -0.380462   -0.16993019]
1381,[1.        0.7339977],[ 0.00337949 -0.0536819  -0.56188226 -0.21934265]
1382,[1.         0.81597829],[-0.10760915  0.0373407  -0.44436127 -0.20729381]
1383,[1.         1.03167474],[-0.2794586   0.16412506 -0.3487528   0.03994866]
1384,[1.         0.81354964],[-0.06063205 -0.04203692 -0.4828456  -0.22583322]
1385,[1.         0.56066942],[ 0.10690591 -0.00655565 -0.6827657  -0.20844975]
1386,[0.9985703  1.01749551],[-0.30437437  0.33150452 -0.34684116  0.19640091]
1387,[0.9997067  1.08613706],[-0.55786574  0.6603052  -0.3249427   0.23897314]
1388,[0.74442262 1.03540778],[-0.3238163   0.38957456 -0.30684888  0.20841339]
1389,[1.         0.80370831],[-0.12900041  0.10082505 -0.430745   -0.18853074]
1390,[1.         0.61708176],[ 0.04759383  0.01095746 -0.6088238  -0.21442345]
1391,[1.         1.01308072],[-0.2890128   0.24439552 -0.39343858  0.14386249]
1392,[1.         0.85562056],[-0.10780138 -0.00938725 -0.44219196 -0.21438223]
1393,[1.         0.89251316],[-0.17490906  0.08280603 -0.39787036 -0.17572582]
1394,[1.        1.0285728],[-0.2716781   0.14318591 -0.3893499   0.0147199 ]
1395,[1.         0.85637325],[-0.1062312  -0.01300344 -0.38171917 -0.18770961]
1396,[1.         1.01668334],[-0.27817976  0.18835407 -0.3850515   0.06683889]
1397,[1.         0.89897066],[-0.15432853  0.0284324  -0.36559847 -0.16630037]
1398,[1.         0.99922717],[-0.2860992   0.26732332 -0.3596863   0.14231455]
1399,[1.         0.68017197],[-0.01186578  0.0299218  -0.53454983 -0.22040358]
1400,[1.         0.99377972],[-0.22858517  0.07363036 -0.33127293 -0.13114613]
1401,[1.         0.58225149],[ 0.05630422  0.04012169 -0.6163419  -0.21335575]
1402,[1.         0.97605604],[-0.21267946  0.0587892  -0.3775434  -0.16317731]
1403,[1.         0.50153124],[ 0.15779343 -0.002754   -0.7442231  -0.20321152]
1404,[1.         1.00077116],[-0.24304722  0.10173105 -0.34725392 -0.11897253]
1405,[0.87425345 1.2103461 ],[-0.43148762  0.4378233  -0.38449484  0.22153711]
1406,[1.         1.01176894],[-0.29104072  0.25870413 -0.3918442   0.16020678]
1407,[1.         1.00662231],[-0.28774294  0.25518703 -0.378066    0.14359072]
1408,[0.99846787 0.98018163],[-0.2751244   0.26129234 -0.30913073  0.08987924]
1409,[1.         0.99121958],[-0.2614109   0.17568445 -0.31066865 -0.01502202]
1410,[1.         1.03977489],[-0.26023266  0.09144121 -0.3556763  -0.06894466]
1411,[1.         1.00500381],[-0.23710033  0.07967322 -0.36146784 -0.14822417]
1412,[1.         1.02331245],[-0.24944234  0.08606167 -0.35044217 -0.10856772]
1413,[1.         1.02756834],[-0.2778849   0.16613771 -0.38482672  0.04873395]
1414,[1.        0.8753227],[-0.13475356  0.01792151 -0.3545161  -0.16575792]
1415,[1.         0.91785288],[-0.16361997  0.02441779 -0.40627354 -0.18910764]
1416,[1.         0.99364901],[-0.2524823   0.14102727 -0.29419756 -0.07268786]
1417,[1.         1.03057444],[-0.27261078  0.14280072 -0.37157154  0.01130838]
1418,[1.         1.02831507],[-0.30673048  0.30506116 -0.37879336  0.1914706 ]
1419,[1.         1.03247547],[-0.26976672  0.13053885 -0.36586267 -0.00815621]
1420,[1.         1.01486099],[-0.28621587  0.22635698 -0.3942318   0.12217569]
1421,[1.        1.0355891],[-0.27209496  0.13270971 -0.33545294 -0.00970924]
1422,[1.        0.8763535],[-0.11565353 -0.01861978 -0.41700536 -0.20366935]
1423,[1.         0.93640608],[-0.1719826   0.0191353  -0.4056985  -0.18425827]
1424,[1.         1.03757012],[-0.2652941   0.10899722 -0.32937273 -0.04976143]
1425,[1.         0.64559555],[ 0.03766313 -0.00733377 -0.59867775 -0.21555093]
1426,[1.         0.87596697],[-0.14776501  0.0435823  -0.41612703 -0.1921764 ]
1427,[1.         0.88487267],[-0.12430167 -0.01270998 -0.43071866 -0.20951605]
1428,[1.         0.64050049],[ 0.01210091  0.03872435 -0.56275654 -0.21789445]
1429,[1.         0.58011329],[ 0.17209753 -0.09883517 -0.77172506 -0.20232195]
1430,[1.         0.89016771],[-0.14028938  0.01104069 -0.38526136 -0.18038478]
1431,[1.         0.81386673],[-0.11223705  0.04938018 -0.44137532 -0.20353627]
1432,[1.         1.02125037],[-0.24296418  0.07208756 -0.36121053 -0.13505915]
1433,[1.         0.94933242],[-0.20485231  0.07620749 -0.3041727  -0.12198363]
1434,[1.         1.02810705],[-0.25596082  0.09679137 -0.3484705  -0.07934571]
1435,[1.       0.564614],[ 0.14692143 -0.0581902  -0.73684305 -0.20465836]
1436,[1.         1.02632177],[-0.29285532  0.22979645 -0.41093314  0.14922445]
1437,[1.         0.60210353],[ 0.031753    0.05484007 -0.58494866 -0.21578366]
1438,[1.         1.03334165],[-0.26582345  0.11712698 -0.37395272 -0.0271657 ]
1439,[1.         1.01443529],[-0.2899056   0.24538764 -0.3971356   0.14838104]
1440,[1.         1.02163815],[-0.24690823  0.08174097 -0.3541172  -0.11831833]
1441,[1.         1.02115488],[-0.27758622  0.17723174 -0.39126563  0.05855735]
1442,[1.         0.98128784],[-0.26899645  0.22773695 -0.30592322  0.0453737 ]
1443,[1.         1.01824033],[-0.2934306   0.25360534 -0.4081679   0.16839077]
1444,[1.         1.00006783],[-0.26870814  0.18542174 -0.33953655  0.02273165]
1445,[1.         0.78671741],[-0.08987734  0.03938781 -0.4569425  -0.21311417]
1446,[1.         0.88609511],[-0.12520921 -0.01244137 -0.41958648 -0.20244645]
1447,[1.         1.00989008],[-0.24775498  0.10113057 -0.3444728  -0.10546921]
1448,[1.         1.06817091],[-0.32952833  0.32917094 -0.38024068  0.19716701]
1449,[1.        0.7728079],[-0.09779866  0.07399583 -0.45216304 -0.2041901 ]
1450,[1.         0.80696517],[-0.11482766  0.06394237 -0.43988904 -0.20004024]
1451,[1.         1.03079927],[-0.25778824  0.09787844 -0.33947054 -0.07774474]
1452,[1.         1.02771044],[-0.29541355  0.23876214 -0.4068649   0.16214524]
1453,[1.         1.02070332],[-0.26474914  0.13427165 -0.36189157 -0.02088729]
1454,[1.         0.81471509],[-8.7051868e-02  4.2118132e-04 -4.5696995e-01 -2.1972300e-01]
1455,[1.         0.92840213],[-0.1641063   0.01273555 -0.4094947  -0.18761227]
1456,[0.80124935 1.19191992],[-0.41382942  0.42609996 -0.37704504  0.2197145 ]
1457,[1.         0.64827746],[ 0.10055038 -0.0896543  -0.67466646 -0.20499656]
1458,[1.         1.02468956],[-0.29655272  0.25262818 -0.42394635  0.18097943]
1459,[0.99479827 0.98217452],[-0.28316355  0.30545595 -0.31322014  0.14833722]
1460,[0.97576327 1.0534097 ],[-0.32471398  0.3545146  -0.34648377  0.20176932]
1461,[1.         1.04564893],[-0.3107732   0.27306378 -0.41388413  0.1956009 ]
1462,[1.         0.97598046],[-0.21033679  0.05336943 -0.38038114 -0.16426991]
1463,[1.         1.01041758],[-0.23608851  0.06958717 -0.34706116 -0.13791147]
1464,[1.         0.93562883],[-0.18932119  0.05778182 -0.33141854 -0.14008771]
1465,[1.         0.86623502],[-0.12021995  0.00099936 -0.37163332 -0.17865047]
1466,[1.         1.02555716],[-0.29313514  0.23301946 -0.4204879   0.15562212]
1467,[1.         0.38609159],[ 0.3474734  -0.05341175 -0.9801262  -0.18407553]
1468,[1.         1.01222813],[-0.278153    0.19745868 -0.37736958  0.07131097]
1469,[1.         0.52908325],[ 0.08783069  0.0593347  -0.6526422  -0.21000941]
1470,[1.         1.02214062],[-0.2953708   0.25328955 -0.4182508   0.1769635 ]
1471,[1.         1.01175606],[-0.2549882   0.11900739 -0.3342775  -0.06198532]
1472,[0.96545283 1.16862118],[-0.38157454  0.3684089  -0.4000488   0.20888352]
1473,[1.         1.00588024],[-0.2694972   0.17691651 -0.35058016  0.02199262]
1474,[1.         1.00389969],[-0.27532104  0.20365235 -0.3579007   0.06168963]
1475,[1.         0.57384121],[ 0.16919479 -0.09011447 -0.7672785  -0.20256713]
1476,[1.         1.02330637],[-0.26779816  0.13959208 -0.372916   -0.00448102]
1477,[0.99244166 0.98533326],[-0.28810936  0.33279562 -0.31559548  0.184387  ]
1478,[1.         1.03188634],[-0.26860175  0.12788376 -0.3740822  -0.01086652]
1479,[1.         1.01329195],[-0.28312922  0.21608807 -0.38711846  0.10310403]
1480,[0.99492896 1.13449335],[-0.3638612   0.35114378 -0.39817682  0.20301133]
1481,[1.         1.02893651],[-0.29422966  0.22994538 -0.3879321   0.14579025]
1482,[1.         0.83123982],[-0.13736567  0.08060751 -0.4243538  -0.18921225]
1483,[1.         1.08015311],[-0.33327374  0.31008822 -0.3951126   0.21503484]
1484,[1.         1.04150963],[-0.25678423  0.07968682 -0.34865546 -0.09041538]
1485,[1.        1.0177356],[-0.2841032   0.2102995  -0.39684665  0.10456774]
1486,[0.99857569 0.95189422],[-0.45494276  0.58002245 -0.25826672  0.25105342]
1487,[0.97920919 1.05857301],[-0.41984582  0.49357563 -0.3102575   0.23287451]
1488,[1.         1.02527046],[-0.29290834  0.23262987 -0.42265564  0.1553774 ]
1489,[1.         1.01804733],[-0.25211924  0.10107738 -0.32547206 -0.09447321]
1490,[1.         0.66958851],[ 0.07777223 -0.08425914 -0.6555311  -0.21190172]
1491,[1.         0.48383453],[ 0.12443191  0.06361368 -0.69668335 -0.20623256]
1492,[1.         0.98302823],[-0.22642103  0.08319872 -0.30792785 -0.1191266 ]
1493,[1.         1.01939821],[-0.28507417  0.21077257 -0.40136945  0.10917623]
1494,[1.         0.99126482],[-0.2475784   0.1297701  -0.28151473 -0.09654292]
1495,[1.         1.02203155],[-0.2850169   0.20473737 -0.40608177  0.10587417]
1496,[1.         0.98321617],[-0.26421753  0.20274301 -0.30244845  0.01125833]
1497,[1.         1.02353215],[-0.2620325   0.12132059 -0.35887435 -0.03964653]
1498,[1.         0.69990885],[ 3.2547116e-04 -1.2848571e-02 -5.5387151e-01 -2.1941069e-01]
1499,[0.99516354 1.19195783],[-0.54886746  0.6360591  -0.3729508   0.22143605]
1500,[1.         0.98844588],[-0.27269173  0.22743788 -0.32487667  0.06185398]
1501,[1.         0.98995769],[-0.22865489  0.07913833 -0.31901708 -0.12456384]
1502,[1.         0.99663633],[-0.25819138  0.15443397 -0.31198484 -0.04023093]
1503,[1.         1.00225043],[-0.28901374  0.27532732 -0.36780572  0.15946928]
1504,[1.         1.03153217],[-0.2689935   0.1296776  -0.37533662 -0.00795224]
1505,[1.         0.85709482],[-0.12798353  0.02668588 -0.4297085  -0.20208415]
1506,[1.         0.81796831],[-0.05749741 -0.05143917 -0.45095852 -0.20705405]
1507,[1.         0.98145008],[-0.27084845  0.23601243 -0.30843902  0.05788319]
1508,[1.         0.95164394],[-0.22292691  0.12083148 -0.3618439  -0.12200145]
1509,[1.         0.74191016],[-0.05926284  0.03758433 -0.47813642 -0.22360963]
1510,[1.         1.00344443],[-0.28544196  0.25168228 -0.36932346  0.1314671 ]
1511,[1.         0.64764708],[ 0.03233793 -0.00184433 -0.5916267  -0.21606378]
1512,[1.         0.85275066],[-0.09952809 -0.0206182  -0.3890827  -0.19337732]
1513,[1.         1.03593469],[-0.26257354  0.10366902 -0.3698979  -0.04817721]
1514,[0.99325098 1.05525517],[-0.44566315  0.5228402  -0.30974057  0.23969957]
1515,[1.         1.03407776],[-0.2649704   0.11345363 -0.37226066 -0.03299391]
1516,[1.         0.83526641],[-0.13583249  0.07150657 -0.42522204 -0.19136721]
1517,[1.         0.70242572],[-0.0134393   0.00585318 -0.53517073 -0.2207092 ]
1518,[1.         0.99914181],[-0.24018647  0.09629963 -0.29809785 -0.11031067]
