lat_block,lon_block,count
0.77,0.531,543
0.639,0.298,542
0.8260000000000001,0.489,541
0.617,0.457,541
0.764,0.442,540
0.498,0.216,540
0.792,0.41000000000000003,539
0.621,0.14100000000000001,537
0.6920000000000001,0.682,535
0.672,0.404,535
0.52,0.233,534
0.854,0.496,532
0.616,0.586,532
0.722,0.428,530
0.624,0.327,528
0.545,0.223,527
0.732,0.705,527
0.768,0.6920000000000001,526
0.604,0.36,526
0.759,0.594,525
0.756,0.61,522
0.766,0.481,522
0.658,0.127,521
0.6910000000000001,0.381,521
0.447,0.64,519
0.581,0.263,519
0.89,0.272,518
0.419,0.47500000000000003,517
0.709,0.374,517
0.765,0.489,516
0.766,0.512,514
0.493,0.129,513
0.6950000000000001,0.385,513
0.768,0.428,512
0.6900000000000001,0.443,511
0.608,0.34500000000000003,510
0.508,0.274,509
0.798,0.47300000000000003,508
0.6,0.401,507
0.495,0.5680000000000001,506
0.419,0.459,506
0.6910000000000001,0.41100000000000003,506
0.74,0.442,502
0.733,0.46900000000000003,500
0.861,0.47500000000000003,500
0.755,0.43,500
0.667,0.67,500
0.769,0.453,499
0.788,0.527,499
0.807,0.486,499
0.45,0.449,498
0.68,0.441,497
0.784,0.583,496
0.765,0.456,496
0.6970000000000001,0.426,495
0.65,0.491,493
0.745,0.522,493
0.784,0.481,491
0.62,0.581,490
0.713,0.418,489
0.722,0.623,488
0.719,0.423,487
0.658,0.389,485
0.403,0.331,483
0.219,0.355,482
0.774,0.448,481
0.735,0.498,479
0.774,0.257,479
0.628,0.454,479
0.74,0.518,478
0.54,0.308,477
0.724,0.364,474
0.639,0.673,474
0.682,0.381,473
0.507,0.431,473
0.773,0.546,472
0.8170000000000001,0.23700000000000002,471
0.811,0.553,471
0.515,0.227,470
0.777,0.538,470
0.588,0.43,468
0.516,0.429,468
0.6970000000000001,0.442,467
0.733,0.498,467
0.8140000000000001,0.509,467
0.332,0.481,466
0.782,0.524,465
0.6900000000000001,0.5660000000000001,465
0.5650000000000001,0.803,465
0.8170000000000001,0.46,465
0.87,0.177,464
0.8270000000000001,0.406,464
0.551,0.311,463
0.676,0.397,462
0.676,0.132,462
0.7010000000000001,0.452,462
0.834,0.536,461
0.40800000000000003,0.634,461
0.717,0.46,460
0.733,0.41600000000000004,459
0.399,0.17500000000000002,459
0.395,0.47800000000000004,459
0.631,0.298,459
0.742,0.503,458
0.682,0.5760000000000001,456
0.234,0.35000000000000003,456
0.764,0.532,455
0.655,0.771,455
0.81,0.437,455
0.855,0.537,454
0.707,0.299,453
0.716,0.601,453
0.665,0.427,453
0.72,0.305,452
0.542,0.72,451
0.5690000000000001,0.719,451
0.41500000000000004,0.56,449
0.901,0.463,449
0.435,0.733,448
0.741,0.47500000000000003,448
0.641,0.5,448
0.712,0.447,447
0.719,0.28500000000000003,445
0.748,0.296,444
0.75,0.47200000000000003,444
0.404,0.467,444
0.658,0.138,442
0.884,0.484,442
0.392,0.023,441
0.668,0.41200000000000003,441
0.63,0.47200000000000003,440
0.656,0.34800000000000003,439
0.646,0.23500000000000001,439
0.34,0.251,438
0.7010000000000001,0.434,438
0.786,0.552,437
0.794,0.497,437
0.737,0.546,437
0.782,0.42,437
0.763,0.517,436
0.518,0.418,436
0.8180000000000001,0.447,436
0.739,0.47800000000000004,435
0.923,0.387,435
0.677,0.445,435
0.6900000000000001,0.457,435
0.741,0.374,435
0.717,0.432,434
0.554,0.339,432
0.773,0.13,432
0.746,0.362,431
0.6920000000000001,0.449,431
0.55,0.217,431
0.6980000000000001,0.126,431
0.805,0.483,430
0.682,0.394,430
0.758,0.392,429
0.609,0.164,429
0.598,0.377,428
0.8190000000000001,0.331,427
0.708,0.466,426
0.716,0.47600000000000003,425
0.644,0.11900000000000001,425
0.516,0.41200000000000003,424
0.744,0.437,422
0.372,0.53,421
0.733,0.67,421
0.8210000000000001,0.453,420
0.754,0.464,420
0.776,0.371,420
0.741,0.485,420
0.6960000000000001,0.537,419
0.625,0.464,419
0.787,0.355,418
0.651,0.279,418
0.76,0.41000000000000003,417
